pair,dataset,method,n,score_mean,failure_count,failure_rate,run_dir
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.95 s=0.65 w16,500,0.36,320,0.64,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.65_w16_0702_2004
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.90 s=0.65 w8,500,0.24,380,0.76,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.65_w8_0702_1751
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.95 s=0.85 w16,500,0.382,309,0.618,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.85_w16_0702_2029
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.98 s=0.85 w16,500,0.448,276,0.552,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.85_w16_0702_2105
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.90 s=0.85 w8,500,0.318,341,0.682,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.85_w8_0702_1832
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.95 s=0.75 w8,500,0.414,293,0.586,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.75_w8_0629_2219
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.90 s=0.75 w16,500,0.338,331,0.662,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.75_w16_0702_1937
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.90 s=0.75 w8,500,0.29,355,0.71,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.75_w8_0702_1819
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.98 s=0.85 w8,500,0.456,272,0.544,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.85_w8_0702_1915
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.95 s=0.75 w16,500,0.382,309,0.618,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.75_w16_0702_2015
