pair,pair_label,cells,complete_cells,mean_best_rekv_score,mean_brekv_score,mean_brekv_budget,mean_gap_brekv_minus_best
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,8,8,0.5088639170833335,0.41017560000000003,0.31269486429166665,-0.09868831708333331
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,8,8,0.5086874445833334,0.3965716916666666,0.3511516464999999,-0.1121157529166667
pair4,S: Falcon3-7B; R: Falcon3-7B,8,8,0.47800438958333336,0.34987287624999996,0.2717215004166666,-0.1281315133333333
pair5,S: EvolCodeLlama-8B; R: ToolACE-8B,8,8,0.5058657858333333,0.39772480749999994,0.32139465850000004,-0.10814097833333333
