task,method,fraction,n,score,skyline,recovered_skyline,bytes_mean,bytes_mb,a2b_mb,budget_mean,run_dir
multifieldqa_en,random_layer,0.3,145,0.062069,0.5655,0.1098,257113372.8,257.1134,257.1134,0.28139546206896543,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/random_layer/random_layer_top0.3_0729_1419
multifieldqa_en,random_layer,0.5,145,0.262069,0.5655,0.4634,456987892.1,456.9879,456.9879,0.5001011586206897,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/random_layer/random_layer_top0.5_0729_1419
multifieldqa_en,recv_layer,0.1,145,0.041379,0.5655,0.0732,116443531.0,116.4435,114.3459,0.12517702758620686,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/recv_layer/recv_layer_f0.1_0729_1354
multifieldqa_en,recv_layer,0.3,145,0.034483,0.5655,0.061,287764547.6,287.7645,285.6669,0.3126390344827588,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/recv_layer/recv_layer_f0.3_0729_1424
multifieldqa_en,recv_layer,0.5,145,0.089655,0.5655,0.1585,487639066.9,487.6391,485.5414,0.5313448,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/recv_layer/recv_layer_f0.5_0729_1424
multifieldqa_en,evict,0.1,145,0.172414,0.5655,0.3049,117086468.7,117.0865,117.0865,0.12812238620689664,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/evict/evict_r0.1_0729_1403
multifieldqa_en,evict,0.3,145,0.331034,0.5655,0.5854,294139398.3,294.1394,294.1394,0.3218652827586207,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/evict/evict_r0.3_0729_1432
multifieldqa_en,evict,0.5,145,0.372414,0.5655,0.6586,471197587.3,471.1976,471.1976,0.5156139517241382,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/evict/evict_r0.5_0729_1419
multifieldqa_en,rekv,0.1,145,0.358621,0.5655,0.6342,119184140.7,119.1841,117.0865,0.12812238620689664,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/rekv/rekv_w8_r0.1_0729_1408
multifieldqa_en,rekv,0.3,145,0.462069,0.5655,0.8171,296237070.3,296.2371,294.1394,0.3218652827586207,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/rekv/rekv_w8_r0.3_0729_1436
