task,method_a,method_b,fraction,n,mean_diff,ci_low,ci_high,wins,losses,ties,bytes_a_mb,bytes_b_mb
musique,recv_layer,kvcomm,0.5,200,-0.235,-0.31,-0.165,8,55,137,27.817,24.214
musique,recv_layer,random_layer,0.1,200,0.005,0.0,0.015,1,0,199,8.25,6.152
musique,recv_layer,random_layer,0.3,200,0.01,-0.01,0.03,3,1,196,17.281,13.678
musique,recv_layer,random_layer,0.5,200,-0.22,-0.29,-0.155,5,49,146,27.817,24.214
musique,kvcomm,random_layer,0.1,200,0.055,0.025,0.09,12,1,187,6.152,6.152
musique,kvcomm,random_layer,0.3,200,0.08,0.035,0.13,20,4,176,13.678,13.678
musique,kvcomm,random_layer,0.5,200,0.015,-0.055,0.095,31,28,141,24.214,24.214
musique,rekv,rekv_shuffled,0.1,200,0.075,0.025,0.12,21,6,173,8.288,8.288
musique,rekv,rekv_shuffled,0.3,200,0.11,0.05,0.175,32,10,158,17.644,17.644
musique,rekv,rekv_shuffled,0.5,200,0.11,0.06,0.165,27,5,168,26.999,26.999
