dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,145,0.393103,0.20928,0.20928,81.848,7164.455172,64.37931,35.986207,1.160404,0.093369,1.610176,2.888542,31.411949,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0703_1349
multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,145,0.37931,0.232063,0.232063,90.766,7164.455172,64.37931,36.82069,1.159675,0.093899,1.700208,2.979283,31.416115,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0703_1356
multifieldqa_en,B-ReKV t=0.95 s=0.90 w16,145,0.372414,0.309255,0.309255,120.432,7164.455172,64.37931,39.337931,1.160425,0.093808,1.887581,3.167127,31.433407,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_cost_0703_1404
multifieldqa_en,KVComm top=0.3,145,0.124138,0.32156,0.32156,125.975,7164.455172,64.37931,43.331034,1.163232,0.0,1.69724,2.885914,31.070394,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/kvcomm/kvcomm_top0.3_cost_0703_1248
multifieldqa_en,KVComm top=0.5,145,0.289655,0.535804,0.535804,209.922,7164.455172,64.37931,40.041379,1.163359,0.0,1.734392,2.920901,31.171957,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/kvcomm/kvcomm_top0.5_cost_0703_1256
multifieldqa_en,KVComm top=0.7,145,0.406897,0.714341,0.714341,279.877,7164.455172,64.37931,34.489655,1.162755,0.0,1.622469,2.808711,31.255291,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/kvcomm/kvcomm_top0.7_cost_0703_1304
multifieldqa_en,ReKV-w16 r=0.3,145,0.386207,0.325,0.325,127.336,7164.455172,64.37931,36.648276,1.160163,0.087584,1.732082,3.004134,31.435855,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/mtc_receiver/recv_w16_r0.3_cost_0703_1341
multifieldqa_en,ReKV-w8 r=0.3,145,0.372414,0.325,0.325,127.336,7164.455172,64.37931,37.42069,1.159987,0.087482,1.770725,3.040652,31.435741,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0703_1332
multifieldqa_en,evict_r0.3_cost_0703_1311,145,0.082759,0.325,0.325,127.336,7164.455172,64.37931,59.482759,1.160757,0.0,2.872739,4.055995,31.021122,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/mtc_evict/evict_r0.3_cost_0703_1311
multifieldqa_en,random_r0.3_cost_0703_1322,145,0.144828,0.325,0.325,127.336,7164.455172,64.37931,59.096552,1.16044,0.0,2.762321,3.94712,31.021081,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/mtc_random/random_r0.3_cost_0703_1322
musique,B-ReKV t=0.95 s=0.75 w8,495,0.29899,0.291996,0.291996,6.034,390.078788,70.864646,25.365657,0.070463,0.045917,1.048414,1.167308,28.582788,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/coverage/cov_t0.95_s0.75_w8_cost_0703_1216
musique,B-ReKV t=0.95 s=0.85 w8,495,0.307071,0.32548,0.32548,6.723,390.078788,70.864646,25.682828,0.070543,0.046656,1.075788,1.195543,28.583031,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/coverage/cov_t0.95_s0.85_w8_cost_0703_1227
musique,B-ReKV t=0.95 s=0.90 w16,495,0.29697,0.412045,0.412045,8.568,390.078788,70.864646,26.460606,0.070517,0.045619,1.088328,1.207163,28.583582,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/coverage/cov_t0.95_s0.90_w16_cost_0703_1237
musique,KVComm top=0.3,495,0.00404,0.323511,0.323511,6.894,390.078788,70.864646,35.361616,0.074615,0.0,1.593944,1.672626,28.572839,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/kvcomm/kvcomm_top0.3_cost_0703_1045
musique,KVComm top=0.5,495,0.105051,0.537139,0.537139,11.453,390.078788,70.864646,31.787879,0.075314,0.0,1.452344,1.531785,28.575725,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/kvcomm/kvcomm_top0.5_cost_0703_1100
musique,KVComm top=0.7,495,0.248485,0.715163,0.715163,15.253,390.078788,70.864646,27.983838,0.074218,0.0,1.232008,1.309431,28.578045,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/kvcomm/kvcomm_top0.7_cost_0703_1113
musique,ReKV-w16 r=0.3,495,0.29697,0.32494,0.32494,6.932,390.078788,70.864646,25.713131,0.07044,0.039317,1.037868,1.150293,28.583038,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/mtc_receiver/recv_w16_r0.3_cost_0703_1206
musique,ReKV-w8 r=0.3,495,0.288889,0.32494,0.32494,6.932,390.078788,70.864646,26.179798,0.070582,0.041449,1.095,1.209848,28.582993,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/mtc_receiver/recv_w8_r0.3_cost_0703_1155
musique,evict_r0.3_cost_0703_1125,495,0.141414,0.32494,0.32494,6.932,390.078788,70.864646,34.064646,0.072632,0.0,1.715645,1.791302,28.552666,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/mtc_evict/evict_r0.3_cost_0703_1125
musique,random_r0.3_cost_0703_1141,495,0.078788,0.32494,0.32494,6.932,390.078788,70.864646,38.167677,0.070546,0.0,1.651972,1.725157,28.554074,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/mtc_random/random_r0.3_cost_0703_1141
qasper,B-ReKV t=0.95 s=0.75 w8,495,0.19596,0.252021,0.252021,67.055,4970.020202,58.466667,58.731313,0.788073,0.086758,3.376184,4.277084,30.487385,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/coverage/cov_t0.95_s0.75_w8_cost_0703_0854
qasper,B-ReKV t=0.95 s=0.85 w8,495,0.20404,0.280833,0.280833,74.69,4970.020202,58.466667,59.066667,0.787274,0.088395,3.445035,4.347343,30.492581,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/coverage/cov_t0.95_s0.85_w8_cost_0703_0930
qasper,B-ReKV t=0.95 s=0.90 w16,495,0.214141,0.344508,0.344508,91.773,4970.020202,58.466667,58.254545,0.787208,0.088188,3.457535,4.357389,30.508269,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/coverage/cov_t0.95_s0.90_w16_cost_0703_1007
qasper,KVComm top=0.3,495,0.00404,0.321592,0.321592,87.401,4970.020202,58.466667,68.210101,0.790806,0.0,2.953326,3.764174,30.261407,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/kvcomm/kvcomm_top0.3_cost_0703_0418
qasper,KVComm top=0.5,495,0.052525,0.535826,0.535826,145.631,4970.020202,58.466667,52.945455,0.790678,0.0,2.879087,3.700054,30.325341,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/kvcomm/kvcomm_top0.5_cost_0703_0450
qasper,KVComm top=0.7,495,0.159596,0.714354,0.714354,194.157,4970.020202,58.466667,46.753535,0.792085,0.0,2.149445,2.961088,30.382088,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/kvcomm/kvcomm_top0.7_cost_0703_0522
qasper,ReKV-w16 r=0.3,495,0.228283,0.324997,0.324997,88.335,4970.020202,58.466667,57.539394,0.787776,0.079049,3.32492,4.215027,30.505501,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/mtc_receiver/recv_w16_r0.3_cost_0703_0818
qasper,ReKV-w8 r=0.3,495,0.224242,0.324997,0.324997,88.335,4970.020202,58.466667,59.593939,0.788808,0.080523,3.534726,4.427092,30.505811,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/mtc_receiver/recv_w8_r0.3_cost_0703_0740
