pair,task,comparison,baseline,n,correct_score,baseline_score,mean_delta,ci_low,ci_high,p_delta_gt_zero,correct_budget,baseline_budget,mean_abs_replay_error,max_abs_replay_error,sketch_bytes_delta
pair6_llama32_abliterated_deepseek3b,musique,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,500,0.286,0.136,0.15,0.112,0.188,1.0,0.251858928,0.251858928,0.0,0.0,0.0
pair6_llama32_abliterated_deepseek3b,musique,correct - sender_context_q,sender_context_q,500,0.286,0.118,0.168,0.126,0.208,1.0,0.251858928,0.251858928,0.0,0.0,1376256.0
pair6_llama32_abliterated_deepseek3b,musique,correct - query_free,query_free,500,0.286,0.21,0.076,0.036,0.118,1.0,0.251858928,0.251858928,0.0,0.0,1376256.0
pair7_qwen25_uncensored_bespoke,hotpotqa,correct - shuffled,shuffled,500,0.388,0.278,0.11,0.072,0.148,1.0,0.385345028,0.385345028,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,hotpotqa,correct - unrelated,unrelated,500,0.388,0.262,0.126,0.09,0.164,1.0,0.385345028,0.385345028,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,hotpotqa,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,500,0.388,0.288,0.1,0.062,0.14,1.0,0.385345028,0.385345028,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,hotpotqa,correct - sender_context_q,sender_context_q,500,0.388,0.282,0.106,0.064,0.15,0.9999,0.385345028,0.385345028,0.0,0.0,1605632.0
pair7_qwen25_uncensored_bespoke,hotpotqa,correct - query_free,query_free,500,0.388,0.148,0.24,0.194,0.288,1.0,0.385345028,0.385345028,0.0,0.0,1605632.0
pair7_qwen25_uncensored_bespoke,multifieldqa_en,correct - shuffled,shuffled,150,0.4,0.32666666666666666,0.07333333333333333,0.006666666666666667,0.14,0.9778,0.35847211333333334,0.35847211333333334,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,multifieldqa_en,correct - unrelated,unrelated,150,0.4,0.2733333333333333,0.12666666666666668,0.06,0.19333333333333333,1.0,0.35847211333333334,0.35847211333333334,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,multifieldqa_en,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,150,0.4,0.25333333333333335,0.14666666666666667,0.07333333333333333,0.22666666666666666,0.9999,0.35847211333333334,0.35847211333333334,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,multifieldqa_en,correct - sender_context_q,sender_context_q,150,0.4,0.29333333333333333,0.10666666666666667,0.04,0.18,0.9983,0.35847211333333334,0.35847211333333334,0.0,0.0,1605632.0
pair7_qwen25_uncensored_bespoke,multifieldqa_en,correct - query_free,query_free,150,0.4,0.10666666666666667,0.29333333333333333,0.20666666666666667,0.37333333333333335,1.0,0.35847211333333334,0.35847211333333334,0.0,0.0,1605632.0
pair7_qwen25_uncensored_bespoke,musique,correct - shuffled,shuffled,500,0.24,0.186,0.054,0.024,0.086,0.9998,0.344117052,0.344117052,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,musique,correct - unrelated,unrelated,500,0.24,0.174,0.066,0.034,0.1,1.0,0.344117052,0.344117052,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,musique,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,500,0.24,0.166,0.074,0.044,0.106,1.0,0.344117052,0.344117052,0.0,0.0,0.0
pair7_qwen25_uncensored_bespoke,musique,correct - sender_context_q,sender_context_q,500,0.24,0.152,0.088,0.05,0.126,1.0,0.344117052,0.344117052,0.0,0.0,1605632.0
pair7_qwen25_uncensored_bespoke,musique,correct - query_free,query_free,500,0.24,0.152,0.088,0.05,0.128,1.0,0.344117052,0.344117052,0.0,0.0,1605632.0
