pair,task,method,method_family,window,ratio_or_scale,n,score_mean,budget_mean,query_budget_mean,run_dir
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,8,0.3,1726,0.327346,0.325001,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.3_0708_2305
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,8,0.5,1726,0.336037,0.517873,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.5_0708_2330
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,8,0.7,1726,0.340672,0.710705,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.7_0708_2355
table6_pair6_llama32_abliterated_deepseek3b,repobench,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,1000,0.33993,0.106932,0.072698,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/coverage/cov_t0.95_s0.75_w8_0709_0839
table6_pair6_llama32_abliterated_deepseek3b,repobench,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,1000,0.33916,0.113081,0.079135,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/coverage/cov_t0.95_s0.85_w8_0709_0902
table6_pair6_llama32_abliterated_deepseek3b,repobench,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,1000,0.34021,0.108949,0.075083,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/coverage/cov_t0.95_s0.90_w16_0709_0930
table6_pair6_llama32_abliterated_deepseek3b,repobench,ReKV,ReKV,16,0.3,1000,0.35485,0.325003,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/mtc_receiver/recv_w16_r0.3_0709_0725
table6_pair6_llama32_abliterated_deepseek3b,repobench,ReKV,ReKV,16,0.5,1000,0.35277,0.517825,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/mtc_receiver/recv_w16_r0.5_0709_0749
table6_pair6_llama32_abliterated_deepseek3b,repobench,ReKV,ReKV,16,0.7,1000,0.3507,0.710699,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/mtc_receiver/recv_w16_r0.7_0709_0813
table6_pair6_llama32_abliterated_deepseek3b,repobench,ReKV,ReKV,8,0.3,1000,0.35204,0.325003,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/mtc_receiver/recv_w8_r0.3_0709_0611
table6_pair6_llama32_abliterated_deepseek3b,repobench,ReKV,ReKV,8,0.5,1000,0.35376,0.517825,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/mtc_receiver/recv_w8_r0.5_0709_0636
table6_pair6_llama32_abliterated_deepseek3b,repobench,ReKV,ReKV,8,0.7,1000,0.35163,0.710699,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/mtc_receiver/recv_w8_r0.7_0709_0700
table6_pair6_llama32_abliterated_deepseek3b,samsum,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,819,0.246222,0.258433,0.197389,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/coverage/cov_t0.95_s0.75_w8_0709_0537
table6_pair6_llama32_abliterated_deepseek3b,samsum,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,819,0.247408,0.27883,0.222969,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/coverage/cov_t0.95_s0.85_w8_0709_0549
table6_pair6_llama32_abliterated_deepseek3b,samsum,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,819,0.260911,0.303402,0.251629,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/coverage/cov_t0.95_s0.90_w16_0709_0600
table6_pair6_llama32_abliterated_deepseek3b,samsum,ReKV,ReKV,16,0.3,819,0.262525,0.325484,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/mtc_receiver/recv_w16_r0.3_0709_0504
table6_pair6_llama32_abliterated_deepseek3b,samsum,ReKV,ReKV,16,0.5,819,0.285929,0.517561,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/mtc_receiver/recv_w16_r0.5_0709_0515
table6_pair6_llama32_abliterated_deepseek3b,samsum,ReKV,ReKV,16,0.7,819,0.288593,0.71043,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/mtc_receiver/recv_w16_r0.7_0709_0526
table6_pair6_llama32_abliterated_deepseek3b,samsum,ReKV,ReKV,8,0.3,819,0.255185,0.325484,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/mtc_receiver/recv_w8_r0.3_0709_0431
table6_pair6_llama32_abliterated_deepseek3b,samsum,ReKV,ReKV,8,0.5,819,0.281247,0.517561,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/mtc_receiver/recv_w8_r0.5_0709_0443
table6_pair6_llama32_abliterated_deepseek3b,samsum,ReKV,ReKV,8,0.7,819,0.285485,0.71043,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/samsum/mtc_receiver/recv_w8_r0.7_0709_0453
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,7405,0.474679,0.329383,0.304421,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/coverage/cov_t0.95_s0.75_w8_0709_2109
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,7405,0.491695,0.367457,0.34403,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/coverage/cov_t0.95_s0.85_w8_0709_2300
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,7405,0.46239,0.435785,0.414846,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/coverage/cov_t0.95_s0.90_w16_0710_0049
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,ReKV,ReKV,16,0.3,7405,0.44605,0.32503,,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/mtc_receiver/recv_w16_r0.3_0709_1527
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,ReKV,ReKV,16,0.5,7405,0.500743,0.517891,,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/mtc_receiver/recv_w16_r0.5_0709_1732
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,ReKV,ReKV,16,0.7,7405,0.55476,0.710606,,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/mtc_receiver/recv_w16_r0.7_0709_1931
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,ReKV,ReKV,8,0.3,7405,0.453747,0.32503,,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/mtc_receiver/recv_w8_r0.3_0709_0955
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,ReKV,ReKV,8,0.5,7405,0.527481,0.517891,,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/mtc_receiver/recv_w8_r0.5_0709_1145
table6_pair7_qwen25_uncensored_bespoke,hotpotqa_full,ReKV,ReKV,8,0.7,7405,0.575422,0.710606,,snapshots/table6_pair7_qwen25_uncensored_bespoke/hotpotqa_full/mtc_receiver/recv_w8_r0.7_0709_1350
table6_pair7_qwen25_uncensored_bespoke,musique_full,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,2417,0.309475,0.291522,0.265291,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/coverage/cov_t0.95_s0.75_w8_0710_1724
table6_pair7_qwen25_uncensored_bespoke,musique_full,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,2417,0.310302,0.324955,0.299963,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/coverage/cov_t0.95_s0.85_w8_0710_1812
table6_pair7_qwen25_uncensored_bespoke,musique_full,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,2417,0.308233,0.410272,0.388408,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/coverage/cov_t0.95_s0.90_w16_0710_1901
