pair,task,method,method_family,window,ratio_or_scale,n,score_mean,budget_mean,query_budget_mean,run_dir
pair1_llama31_same,countries,agg_identity,layer_agg,16,0.3,200,0.605,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_identity/recv_identity_w16_r0.3_0708_1919
pair1_llama31_same,countries,agg_identity,layer_agg,8,0.3,200,0.6,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_identity/recv_identity_w8_r0.3_0708_1912
pair1_llama31_same,countries,agg_last,layer_agg,16,0.3,200,0.3,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_last/recv_last_w16_r0.3_0708_1920
pair1_llama31_same,countries,agg_last,layer_agg,8,0.3,200,0.085,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_last/recv_last_w8_r0.3_0708_1913
pair1_llama31_same,countries,agg_last4,layer_agg,16,0.3,200,0.04,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_last4/recv_last4_w16_r0.3_0708_1924
pair1_llama31_same,countries,agg_last4,layer_agg,8,0.3,200,0.05,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_last4/recv_last4_w8_r0.3_0708_1917
pair1_llama31_same,countries,agg_mean,layer_agg,16,0.3,200,0.595,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_mean/recv_mean_w16_r0.3_0708_1922
pair1_llama31_same,countries,agg_mean,layer_agg,8,0.3,200,0.595,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_mean/recv_mean_w8_r0.3_0708_1915
pair1_llama31_same,countries,agg_top4,layer_agg,16,0.3,200,0.31,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_top4/recv_top4_w16_r0.3_0708_1923
pair1_llama31_same,countries,agg_top4,layer_agg,8,0.3,200,0.49,0.323525,,snapshots/layer_aggregation_ablation/pair1_llama31_same/countries/agg_top4/recv_top4_w8_r0.3_0708_1916
pair1_llama31_same,hotpotqa,agg_identity,layer_agg,16,0.3,500,0.7,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_identity/recv_identity_w16_r0.3_0708_2007
pair1_llama31_same,hotpotqa,agg_identity,layer_agg,8,0.3,500,0.696,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_identity/recv_identity_w8_r0.3_0708_1951
pair1_llama31_same,hotpotqa,agg_last,layer_agg,16,0.3,500,0.486,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_last/recv_last_w16_r0.3_0708_2011
pair1_llama31_same,hotpotqa,agg_last,layer_agg,8,0.3,500,0.516,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_last/recv_last_w8_r0.3_0708_1954
pair1_llama31_same,hotpotqa,agg_last4,layer_agg,16,0.3,500,0.6,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_last4/recv_last4_w16_r0.3_0708_2020
pair1_llama31_same,hotpotqa,agg_last4,layer_agg,8,0.3,500,0.668,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_last4/recv_last4_w8_r0.3_0708_2004
pair1_llama31_same,hotpotqa,agg_mean,layer_agg,16,0.3,500,0.652,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_mean/recv_mean_w16_r0.3_0708_2014
pair1_llama31_same,hotpotqa,agg_mean,layer_agg,8,0.3,500,0.662,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_mean/recv_mean_w8_r0.3_0708_1958
pair1_llama31_same,hotpotqa,agg_top4,layer_agg,16,0.3,500,0.666,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_top4/recv_top4_w16_r0.3_0708_2017
pair1_llama31_same,hotpotqa,agg_top4,layer_agg,8,0.3,500,0.682,0.321984,,snapshots/layer_aggregation_ablation/pair1_llama31_same/hotpotqa/agg_top4/recv_top4_w8_r0.3_0708_2001
pair1_llama31_same,multifieldqa_en,agg_identity,layer_agg,16,0.3,150,0.513333,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_identity/recv_identity_w16_r0.3_0709_0001
pair1_llama31_same,multifieldqa_en,agg_identity,layer_agg,8,0.3,150,0.506667,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_identity/recv_identity_w8_r0.3_0708_2332
pair1_llama31_same,multifieldqa_en,agg_last,layer_agg,16,0.3,150,0.486667,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_last/recv_last_w16_r0.3_0709_0007
pair1_llama31_same,multifieldqa_en,agg_last,layer_agg,8,0.3,150,0.506667,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_last/recv_last_w8_r0.3_0708_2338
pair1_llama31_same,multifieldqa_en,agg_last4,layer_agg,16,0.3,150,0.54,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_last4/recv_last4_w16_r0.3_0709_0024
pair1_llama31_same,multifieldqa_en,agg_last4,layer_agg,8,0.3,150,0.54,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_last4/recv_last4_w8_r0.3_0708_2356
pair1_llama31_same,multifieldqa_en,agg_mean,layer_agg,16,0.3,150,0.526667,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_mean/recv_mean_w16_r0.3_0709_0012
