pair,pair_label,task,task_label,method,score,payload_tokens,total_communication_bytes,total_communication_mb,selected_kv_bytes,selected_kv_mb,t_total,peak_mem_gb,compute_tokens_proxy,run_dir,method_group,protocol_version
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,musique,MuSiQue,B-ReKV t=0.95 s=0.75 w8,0.42,2103.42,10001302.0,9.538,8615608.32,8.2165,0.288557,12.123531,365.68,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/musique/brekv/brekv_bf16_t0.95_s0.75_w8_0713_2107,B-ReKV,query_sketch_bf16_v1
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,NLD,0.062069,20.255172,85.462069,8.2e-05,,,2.182238,13.195138,7122.627587,snapshots/nld_cost_profile/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/nld/nld_cost_0709_1902,NLD,
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.48,65308.34,269141474.0,256.6733,267502960.64,255.1107,1.052281,15.063583,7234.66,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/rekv/rekv_bf16_w8_r0.30_0713_2108,ReKV-w8 r=0.3,query_sketch_bf16_v1
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.46,83230.52,342622412.0,326.7502,340912209.92,325.1192,1.077086,15.208713,7235.44,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0713_2109,B-ReKV,query_sketch_bf16_v1
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,NLD,0.115152,21.816162,86.989899,8.3e-05,,,2.531885,28.4126,455.785858,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/hotpotqa/nld/nld_cost_0709_1908,NLD,
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,ReKV-w8 r=0.3,0.46,1283.14,4239659.28,4.0433,2627870.72,2.5061,0.84313,28.500436,232.96,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0844,ReKV-w8 r=0.3,query_sketch_bf16_v1
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.75 w8,0.5,1494.08,4672508.16,4.4561,3059875.84,2.9181,1.071347,28.499808,231.0,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/hotpotqa/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0845,B-ReKV,query_sketch_bf16_v1
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,NLD,0.042424,24.230303,96.123232,9.2e-05,,,3.571563,28.453824,769.050505,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/musique/nld/nld_cost_0709_1929,NLD,
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,ReKV-w8 r=0.3,0.22,3139.62,8049156.24,7.6763,6429941.76,6.1321,0.990293,28.574937,439.8,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/musique/rekv/rekv_bf16_w8_r0.30_0714_0849,ReKV-w8 r=0.3,query_sketch_bf16_v1
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,B-ReKV t=0.95 s=0.75 w8,0.24,3231.24,8237160.48,7.8556,6617579.52,6.311,1.489809,28.576688,443.28,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/musique/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0851,B-ReKV,query_sketch_bf16_v1
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,NLD,0.117241,27.855172,124.255172,0.000118,,,5.283789,29.717704,7543.275861,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/multifieldqa_en/nld/nld_cost_0709_1959,NLD,
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.34,67437.94,139989308.88,133.5042,138112901.12,131.7147,2.285581,31.2753,7512.7,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/multifieldqa_en/rekv/rekv_bf16_w8_r0.30_0714_0857,ReKV-w8 r=0.3,query_sketch_bf16_v1
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.3,77987.14,161636267.28,154.1484,159717662.72,152.3186,2.613313,31.317992,7511.44,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0859,B-ReKV,query_sketch_bf16_v1
