policy,group,n_cells,n_samples,brekv_score,brekv_budget,fixed_score,fixed_budget,score_delta,budget_delta,lower_ratio,upper_ratio,interpolation_weight,pair,task
per_cell_best_fixed_unmatched,pair1_llama31_same/countries,1,200,0.615,0.2943774550000002,0.605,0.32352516999999986,0.01,-0.029147714999999685,0.3,0.3,0.0,pair1_llama31_same,countries
per_cell_budget_matched_fixed,pair1_llama31_same/tipsheets,1,500,0.712,0.278143484,0.5286542829995564,0.278143484,0.18334571700044364,0.0,0.25,0.3,0.09696422915742477,pair1_llama31_same,tipsheets
per_cell_best_fixed_unmatched,pair1_llama31_same/tipsheets,1,500,0.712,0.278143484,0.902,0.6124680340000002,-0.19,-0.33432455000000016,0.6,0.6,0.0,pair1_llama31_same,tipsheets
per_cell_budget_matched_fixed,pair1_llama31_same/hotpotqa,1,500,0.56,0.2754482219999999,0.5722259136460103,0.2754482219999999,-0.01222591364601029,0.0,0.25,0.3,0.03709856076683813,pair1_llama31_same,hotpotqa
per_cell_best_fixed_unmatched,pair1_llama31_same/hotpotqa,1,500,0.56,0.2754482219999999,0.718,0.6126319660000008,-0.158,-0.3371837440000009,0.6,0.6,0.0,pair1_llama31_same,hotpotqa
per_cell_budget_matched_fixed,pair1_llama31_same/qasper,1,500,0.31,0.35253970199999995,0.311195949993339,0.35253970199999995,-0.0011959499933390295,0.0,0.3,0.35,0.6331645830557929,pair1_llama31_same,qasper
per_cell_best_fixed_unmatched,pair1_llama31_same/qasper,1,500,0.31,0.35253970199999995,0.324,0.5156114960000001,-0.014,-0.16307179400000016,0.5,0.5,0.0,pair1_llama31_same,qasper
per_cell_budget_matched_fixed,pair1_llama31_same/musique,1,500,0.304,0.27454659399999964,0.3385146745597859,0.27454659399999964,-0.0345146745597859,0.0,0.25,0.3,0.023394298172086183,pair1_llama31_same,musique
per_cell_best_fixed_unmatched,pair1_llama31_same/musique,1,500,0.304,0.27454659399999964,0.454,0.6124955300000012,-0.15,-0.3379489360000016,0.6,0.6,0.0,pair1_llama31_same,musique
per_cell_budget_matched_fixed,pair1_llama31_same/multifieldqa_en,1,150,0.5,0.33536828,0.49333333333333335,0.33536828,0.006666666666666667,0.0,0.3,0.35,0.2787416311432424,pair1_llama31_same,multifieldqa_en
per_cell_best_fixed_unmatched,pair1_llama31_same/multifieldqa_en,1,150,0.5,0.33536828,0.5466666666666666,0.612487893333333,-0.04666666666666667,-0.27711961333333296,0.6,0.6,0.0,pair1_llama31_same,multifieldqa_en
per_cell_budget_matched_fixed,pair1_llama31_same/twowikimqa,1,200,0.43,0.3396907650000001,0.41735537262595623,0.33969076500000017,0.012644627374043801,-5.551115123125783e-17,0.3,0.35,0.36776863129780996,pair1_llama31_same,twowikimqa
per_cell_best_fixed_unmatched,pair1_llama31_same/twowikimqa,1,200,0.43,0.3396907650000001,0.43,0.3703149049999999,0.0,-0.0306241399999998,0.35,0.35,0.0,pair1_llama31_same,twowikimqa
per_cell_budget_matched_fixed,pair1_llama31_same/tmath,1,300,0.35593849666666655,0.2648429900000001,0.34912731834733496,0.2648429900000001,0.006811178319331838,0.0,0.2,0.25,0.8225579231039882,pair1_llama31_same,tmath
per_cell_best_fixed_unmatched,pair1_llama31_same/tmath,1,300,0.35593849666666655,0.2648429900000001,0.36328120000000036,0.5156143666666663,-0.007342703333333335,-0.25077137666666616,0.5,0.5,0.0,pair1_llama31_same,tmath
per_cell_budget_matched_fixed,pair2_llama32_same/countries,1,200,0.53,0.27457085,0.48975054325683876,0.27457085,0.040249456743161265,0.0,0.2,0.25,0.9501086513677474,pair2_llama32_same,countries
per_cell_best_fixed_unmatched,pair2_llama32_same/countries,1,200,0.53,0.27457085,0.58,0.614028295000001,-0.05,-0.339457445000001,0.6,0.6,0.0,pair2_llama32_same,countries
per_cell_budget_matched_fixed,pair2_llama32_same/tipsheets,1,500,0.42,0.23684930000000012,0.3760791521295372,0.23684930000000012,0.043920847870462756,0.0,0.2,0.25,0.1699646720640516,pair2_llama32_same,tipsheets
