pair,task_type,dataset,method,n,score_mean,run_dir
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,B-ReKV t=0.95 s=0.90 w16,200,0.115,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/coverage/cov_t0.95_s0.90_w16_0630_0902
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,B-ReKV t=0.95 s=0.85 w8,200,0.145,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/coverage/cov_t0.95_s0.85_w8_0630_0852
table1_pair7_qwen25_uncensored_bespoke,multi_hop,twowikimqa,B-ReKV t=0.95 s=0.75 w8,200,0.135,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/coverage/cov_t0.95_s0.75_w8_0630_0842
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,ReKV-w16 r=0.5,150,0.393333,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w16_r0.5_0630_0653
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,ReKV-w8 r=0.7,150,0.4,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w8_r0.7_0630_0633
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,ReKV-w8 r=0.5,150,0.426667,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w8_r0.5_0630_0622
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,ReKV-w8 r=0.3,150,0.38,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0630_0612
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,ReKV-w16 r=0.3,150,0.393333,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0630_0643
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,ReKV-w16 r=0.7,150,0.4,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w16_r0.7_0630_0703
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,150,0.38,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_0630_0722
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,150,0.393333,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0630_0713
table1_pair7_qwen25_uncensored_bespoke,long_document,multifieldqa_en,B-ReKV t=0.95 s=0.90 w16,150,0.373333,snapshots/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_0630_0732
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,ReKV-w8 r=0.3,500,0.396,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w8_r0.3_0629_1839
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,ReKV-w16 r=0.5,500,0.442,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w16_r0.5_0629_2124
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,ReKV-w16 r=0.3,500,0.376,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w16_r0.3_0629_2036
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,ReKV-w8 r=0.7,500,0.504,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w8_r0.7_0629_2000
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,ReKV-w16 r=0.7,500,0.498,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w16_r0.7_0629_2157
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,ReKV-w8 r=0.5,500,0.454,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/mtc_receiver/recv_w8_r0.5_0629_1922
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.65 w16,500,0.408,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.65_w16_0702_2039
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.65 w8,500,0.41,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.65_w8_0702_1844
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.75 w16,500,0.414,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.75_w16_0702_2050
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.65 w16,500,0.292,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.65_w16_0702_1924
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.65 w8,500,0.444,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.65_w8_0702_1855
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.65 w16,500,0.36,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.65_w16_0702_2004
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.65 w8,500,0.24,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.65_w8_0702_1751
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.85 w16,500,0.382,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.85_w16_0702_2029
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.85 w16,500,0.448,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.85_w16_0702_2105
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.85 w8,500,0.318,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.85_w8_0702_1832
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.75 w8,500,0.414,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.75_w8_0629_2219
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.75 w16,500,0.338,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.75_w16_0702_1937
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.75 w8,500,0.29,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.75_w8_0702_1819
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.85 w8,500,0.456,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.85_w8_0702_1915
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.75 w16,500,0.382,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.75_w16_0702_2015
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.75 w8,500,0.446,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.75_w8_0702_1905
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.85 w16,500,0.36,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.85_w16_0702_1952
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.85 w8,500,0.446,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.85_w8_0629_2248
table1_pair7_qwen25_uncensored_bespoke,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.90 w16,500,0.402,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.90_w16_0629_2329
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,ReKV-w8 r=0.5,500,0.944,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/mtc_receiver/recv_w8_r0.5_0629_1716
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,ReKV-w16 r=0.3,500,0.822,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/mtc_receiver/recv_w16_r0.3_0629_1736
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,ReKV-w16 r=0.5,500,0.932,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/mtc_receiver/recv_w16_r0.5_0629_1746
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,ReKV-w8 r=0.7,500,0.952,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/mtc_receiver/recv_w8_r0.7_0629_1726
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,ReKV-w8 r=0.3,500,0.902,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/mtc_receiver/recv_w8_r0.3_0629_1708
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,ReKV-w16 r=0.7,500,0.956,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/mtc_receiver/recv_w16_r0.7_0629_1756
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,B-ReKV t=0.95 s=0.90 w16,500,0.824,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/coverage/cov_t0.95_s0.90_w16_0629_1827
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,B-ReKV t=0.95 s=0.85 w8,500,0.92,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/coverage/cov_t0.95_s0.85_w8_0629_1816
table1_pair7_qwen25_uncensored_bespoke,simple_synthetic,tipsheets,B-ReKV t=0.95 s=0.75 w8,500,0.9,snapshots/table1_pair7_qwen25_uncensored_bespoke/tipsheets/coverage/cov_t0.95_s0.75_w8_0629_1806
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,ReKV-w8 r=0.7,200,0.405,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/mtc_receiver/recv_w8_r0.7_0629_1636
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,ReKV-w16 r=0.7,200,0.45,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/mtc_receiver/recv_w16_r0.7_0629_1649
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,ReKV-w16 r=0.5,200,0.47,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/mtc_receiver/recv_w16_r0.5_0629_1645
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,ReKV-w8 r=0.5,200,0.43,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/mtc_receiver/recv_w8_r0.5_0629_1632
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,ReKV-w16 r=0.3,200,0.185,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/mtc_receiver/recv_w16_r0.3_0629_1640
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,ReKV-w8 r=0.3,200,0.21,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/mtc_receiver/recv_w8_r0.3_0629_1621
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,B-ReKV t=0.95 s=0.90 w16,200,0.41,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/coverage/cov_t0.95_s0.90_w16_0629_1703
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,B-ReKV t=0.95 s=0.75 w8,200,0.355,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/coverage/cov_t0.95_s0.75_w8_0629_1653
table1_pair7_qwen25_uncensored_bespoke,simple_fact,countries,B-ReKV t=0.95 s=0.85 w8,200,0.455,snapshots/table1_pair7_qwen25_uncensored_bespoke/countries/coverage/cov_t0.95_s0.85_w8_0629_1659
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,ReKV-w16 r=0.5,500,0.318,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w16_r0.5_0630_0317
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,ReKV-w16 r=0.7,500,0.352,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w16_r0.7_0630_0403
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,ReKV-w8 r=0.7,500,0.358,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w8_r0.7_0630_0148
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,ReKV-w8 r=0.3,500,0.288,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w8_r0.3_0630_0011
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,ReKV-w16 r=0.3,500,0.298,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w16_r0.3_0630_0232
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,ReKV-w8 r=0.5,500,0.338,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w8_r0.5_0630_0101
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.98 s=0.75 w8,500,0.322,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.75_w8_0702_2224
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.90 s=0.65 w8,500,0.248,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.65_w8_0702_2119
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.98 s=0.65 w16,500,0.316,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.65_w16_0703_0017
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.90 s=0.85 w16,500,0.264,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.85_w16_0702_2318
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.98 s=0.85 w8,500,0.324,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.85_w8_0702_2238
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.95 s=0.75 w8,500,0.3,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.75_w8_0630_0447
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.95 s=0.85 w16,500,0.286,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.85_w16_0702_2359
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.98 s=0.75 w16,500,0.326,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.75_w16_0703_0029
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.95 s=0.75 w16,500,0.266,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.75_w16_0702_2346
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.98 s=0.85 w16,500,0.33,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.85_w16_0703_0044
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.95 s=0.85 w8,500,0.308,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.85_w8_0630_0520
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.90 s=0.85 w8,500,0.294,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.85_w8_0702_2144
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.95 s=0.65 w16,500,0.278,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.65_w16_0702_2331
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.90 s=0.75 w16,500,0.26,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.75_w16_0702_2304
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.95 s=0.90 w16,500,0.3,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.90_w16_0630_0553
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.90 s=0.65 w16,500,0.254,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.65_w16_0702_2251
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.95 s=0.65 w8,500,0.294,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.65_w8_0702_2155
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.90 s=0.75 w8,500,0.27,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.75_w8_0702_2131
table1_pair7_qwen25_uncensored_bespoke,multi_hop,musique,B-ReKV t=0.98 s=0.65 w8,500,0.3,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.65_w8_0702_2209
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,ReKV-w16 r=0.5,500,0.224,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w16_r0.5_0630_1148
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,ReKV-w8 r=0.5,500,0.218,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w8_r0.5_0630_0951
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,ReKV-w8 r=0.7,500,0.222,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w8_r0.7_0630_1031
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,ReKV-w16 r=0.7,500,0.208,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w16_r0.7_0630_1229
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,ReKV-w8 r=0.3,500,0.224,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w8_r0.3_0630_0912
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,ReKV-w16 r=0.3,500,0.228,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w16_r0.3_0630_1111
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,B-ReKV t=0.95 s=0.85 w8,500,0.204,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/coverage/cov_t0.95_s0.85_w8_0630_1350
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,B-ReKV t=0.95 s=0.75 w8,500,0.194,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/coverage/cov_t0.95_s0.75_w8_0630_1311
table1_pair7_qwen25_uncensored_bespoke,long_document,qasper,B-ReKV t=0.95 s=0.90 w16,500,0.212,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/coverage/cov_t0.95_s0.90_w16_0630_1428
