config,tau,scale,window,cells,mean_score,mean_budget,mean_matched_fixed_score,mean_delta,worst_delta,wins_or_ties,accepted
B-ReKV-t0.9-s0.95-w8,0.9,0.95,8,6,0.36333333333333334,0.21746735833333333,0.4337048888237324,-0.07037155549039908,-0.12000000000000005,1,False
B-ReKV-t0.95-s0.85-w8,0.95,0.85,8,6,0.48666666666666664,0.329841125,0.4669548128450572,0.019711853821609438,-0.00741580390189156,5,True
B-ReKV-t0.95-s0.95-w8,0.95,0.95,8,6,0.5166666666666667,0.36396424833333335,0.49853968786767755,0.018126978798989096,-0.00679604053721955,5,True
B-ReKV-t0.95-s1-w8,0.95,1.0,8,6,0.5166666666666667,0.38116947333333334,0.5130638567842175,0.003602809882449145,-0.020000000000000018,4,True
B-ReKV-t0.98-s0.95-w8,0.98,0.95,8,6,0.5616666666666666,0.5699680883333333,0.5399999999999999,0.021666666666666685,-0.020000000000000018,4,True
B-ReKV-t0.98-s1-w8,0.98,1.0,8,6,0.5650000000000001,0.5918671066666666,0.5399999999999999,0.025000000000000022,0.010000000000000009,6,True
