policy,pair,task,selected_ratio,score,actual_budget,total_bytes,a_to_b_bytes,b_to_a_bytes,per_task_best_score,relative_per_task_best_regret
Fixed 0.2,pair2_llama32_same,qasper,0.2,0.24,0.228566278,129884154.0,128507442.0,1376712.0,0.324,0.2592592592592593
Fixed 0.2,pair2_llama32_same,musique,0.2,0.22,0.22862819,11290128.8,9913416.8,1376712.0,0.342,0.35672514619883045
Fixed 0.2,pair2_llama32_same,multifieldqa_en,0.2,0.42,0.2285820133333333,184423529.33333334,183046817.33333334,1376712.0,0.52,0.19230769230769237
Fixed 0.2,pair2_llama32_same,twowikimqa,0.2,0.42,0.228565815,190341093.5,188964381.5,1376712.0,0.4,-0.049999999999999906
Fixed 0.2,pair2_llama32_same,tmath,0.2,0.33612495333333337,0.2285351933333334,7210937.666666667,5834225.666666667,1376712.0,0.3601894133333333,0.06681056996455852
Fixed 0.2,pair3_qwen25_7b_same,countries,0.2,0.025,0.23221948500000003,2405212.32,799124.32,1606088.0,0.365,0.9315068493150684
Fixed 0.2,pair3_qwen25_7b_same,tipsheets,0.2,0.748,0.22853319400000005,3089648.712,1483560.712,1606088.0,0.934,0.19914346895074952
Fixed 0.2,pair3_qwen25_7b_same,hotpotqa,0.2,0.36,0.22861084199999998,3446491.512,1840403.512,1606088.0,0.652,0.44785276073619634
Fixed 0.2,pair3_qwen25_7b_same,qasper,0.2,0.226,0.22857300200000003,67115549.424,65509461.424,1606088.0,0.336,0.3273809523809524
Fixed 0.2,pair3_qwen25_7b_same,musique,0.2,0.206,0.22859754400000004,6719189.376,5113101.376,1606088.0,0.372,0.446236559139785
Fixed 0.2,pair3_qwen25_7b_same,multifieldqa_en,0.2,0.3933333333333333,0.22857514666666665,96177371.52,94571283.52,1606088.0,0.5266666666666666,0.2531645569620253
Fixed 0.2,pair3_qwen25_7b_same,twowikimqa,0.2,0.4,0.2285779,101075098.8,99469010.8,1606088.0,0.46,0.13043478260869565
Fixed 0.2,pair3_qwen25_7b_same,tmath,0.2,0.31171066999999997,0.22861602333333336,4473471.0,2867383.0,1606088.0,0.3214439,0.03027971599398849
Fixed 0.2,pair4_falcon3_7b_same,countries,0.2,0.025,0.32457399000000003,2871996.5,1495284.5,1376712.0,0.405,0.9382716049382716
Fixed 0.2,pair4_falcon3_7b_same,tipsheets,0.2,0.468,0.22853811799999998,3907144.0,2530432.0,1376712.0,0.928,0.4956896551724138
Fixed 0.2,pair4_falcon3_7b_same,hotpotqa,0.2,0.356,0.228681984,4611097.6,3234385.6,1376712.0,0.6,0.4066666666666667
Fixed 0.2,pair4_falcon3_7b_same,qasper,0.2,0.204,0.228574548,136414593.0,135037881.0,1376712.0,0.238,0.14285714285714288
Fixed 0.2,pair4_falcon3_7b_same,musique,0.2,0.242,0.228648148,11105464.8,9728752.8,1376712.0,0.402,0.3980099502487563
Fixed 0.2,pair4_falcon3_7b_same,multifieldqa_en,0.2,0.36,0.22856761333333334,198079946.0,196703234.0,1376712.0,0.43333333333333335,0.1692307692307693
Fixed 0.2,pair4_falcon3_7b_same,twowikimqa,0.2,0.385,0.22857346499999998,201012389.0,199635677.0,1376712.0,0.4,0.03750000000000003
Fixed 0.2,pair4_falcon3_7b_same,tmath,0.2,0.29042467,0.22858316666666667,6937563.333333333,5560851.333333333,1376712.0,0.30103694,0.03525238464090148
Fixed 0.2,pair5_evolcodellama_toolace,countries,0.2,0.065,0.22515247000000002,4039793.0,1942121.0,2097672.0,0.59,0.8898305084745761
Fixed 0.2,pair5_evolcodellama_toolace,tipsheets,0.2,0.53,0.22509827200000002,5554857.8,3457185.8,2097672.0,0.916,0.42139737991266374
Fixed 0.2,pair5_evolcodellama_toolace,hotpotqa,0.2,0.392,0.224998508,6251529.8,4153857.8,2097672.0,0.608,0.3552631578947368
Fixed 0.2,pair5_evolcodellama_toolace,qasper,0.2,0.15,0.224994884,146668502.0,144570830.0,2097672.0,0.24,0.375
Fixed 0.2,pair5_evolcodellama_toolace,musique,0.2,0.21,0.22505706400000003,13250320.0,11152648.0,2097672.0,0.338,0.37869822485207105
Fixed 0.2,pair5_evolcodellama_toolace,multifieldqa_en,0.2,0.44,0.2250107266666667,208025412.0,205927740.0,2097672.0,0.56,0.21428571428571436
Fixed 0.2,pair5_evolcodellama_toolace,twowikimqa,0.2,0.35,0.22499444000000005,214682561.5,212584889.5,2097672.0,0.39,0.10256410256410266
Fixed 0.2,pair5_evolcodellama_toolace,tmath,0.2,0.34127142666666666,0.22496366000000004,8661176.333333334,6563504.333333333,2097672.0,0.37097900666666667,0.0800788709499483
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,countries,0.2,0.365,0.321779085,2874313.0,1497601.0,1376712.0,0.545,0.33027522935779824
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,tipsheets,0.2,0.396,0.22869410199999998,3793729.8,2417017.8,1376712.0,0.694,0.4293948126801152
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,hotpotqa,0.2,0.508,0.22860956400000002,4413248.0,3036536.0,1376712.0,0.696,0.2701149425287356
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,qasper,0.2,0.246,0.22856622600000004,129228154.0,127851442.0,1376712.0,0.302,0.18543046357615892
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,musique,0.2,0.28,0.22863366999999998,10634128.8,9257416.8,1376712.0,0.404,0.3069306930693069
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,0.2,0.44,0.2285821333333333,183767529.33333334,182390817.33333334,1376712.0,0.49333333333333335,0.10810810810810813
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,twowikimqa,0.2,0.395,0.228565715,189685093.5,188308381.5,1376712.0,0.41,0.03658536585365844
Fixed 0.2,pair6_llama32_abliterated_deepseek3b,tmath,0.2,0.3201200533333333,0.2285278766666667,6554937.666666667,5178225.666666667,1376712.0,0.33793254666666667,0.05271020358658562
Fixed 0.2,pair7_qwen25_uncensored_bespoke,countries,0.2,0.045,0.23221948500000003,2405212.32,799124.32,1606088.0,0.495,0.9090909090909092
Fixed 0.2,pair7_qwen25_uncensored_bespoke,tipsheets,0.2,0.586,0.22853319400000005,3089648.712,1483560.712,1606088.0,0.95,0.3831578947368421
Fixed 0.2,pair7_qwen25_uncensored_bespoke,hotpotqa,0.2,0.258,0.22861084199999998,3446491.512,1840403.512,1606088.0,0.466,0.44635193133047213
Fixed 0.2,pair7_qwen25_uncensored_bespoke,qasper,0.2,0.168,0.22857300200000003,67115549.424,65509461.424,1606088.0,0.204,0.17647058823529402
Fixed 0.2,pair7_qwen25_uncensored_bespoke,musique,0.2,0.182,0.22859754400000004,6719189.376,5113101.376,1606088.0,0.332,0.4518072289156627
Fixed 0.2,pair7_qwen25_uncensored_bespoke,multifieldqa_en,0.2,0.3,0.22857514666666665,96177371.52,94571283.52,1606088.0,0.38,0.21052631578947373
