policy,selected_ratio,n_cells,score,score_ci_low,score_ci_high,actual_budget,total_bytes,a_to_b_bytes,b_to_a_bytes,relative_per_task_best_regret,worst_task_regret,worst_task,brekv_wins_tasks_vs_policy,brekv_score_delta,brekv_delta_ci_low,brekv_delta_ci_high,p_brekv_gt_policy
B-ReKV,NA,54,0.3996993464197531,0.3924890469768517,0.4066166535262345,0.3232401202530865,93499010.56753086,91867419.75271605,1631590.8148148148,0.16182705972333494,0.31050228310502287,musique,0,0.0,0.0,0.0,0.0
Fixed 0.2,NA,54,0.3302483192592592,0.3235282635709877,0.3370274436682099,0.231307957962963,62878397.39681481,61246806.58199999,1631590.8148148148,0.28232283633122424,0.5890603085553997,countries,7,0.06945102716049384,0.0639375468734568,0.07506615143209876,1.0
Fixed 0.3,NA,54,0.39320374574074074,0.3862744510046296,0.4001208994614198,0.32450410653703715,88881796.66214816,87250205.84733334,1631590.8148148148,0.16396155356803377,0.38709677419354827,countries,2,0.0064956006790123436,0.0016421938441358024,0.011357118924382717,0.9953
Fixed 0.4,NA,54,0.44609972555555566,0.4389666522145062,0.45323264384259265,0.42076441448148144,114899312.85871603,113267722.04390122,1631590.8148148148,0.06647167101368864,0.13789954337899546,musique,0,-0.046400379135802465,-0.051443691146604936,-0.04162605026234568,0.0
Fixed 0.5,NA,54,0.4677354763580247,0.4607482259459876,0.4749058136512346,0.5172678600061729,140916779.91535804,139285189.10054323,1631590.8148148148,0.02270636160777361,0.06392694063926951,musique,0,-0.06803612993827161,-0.07336649658179012,-0.0626983730632716,0.0
Fixed 0.6,NA,54,0.47982889827160496,0.47257451569444436,0.48681764106944436,0.6137925418333333,166934942.8122222,165303351.99740738,1631590.8148148148,0.00024319066147859272,0.0019455252918287418,multifieldqa_en,0,-0.08012955185185183,-0.08576295671450616,-0.07456448471450616,0.0
Dev-selected Fixed,0.6,54,0.47982889827160496,0.4727905350077161,0.48701415912345675,0.6137925418333333,166934942.8122222,165303351.99740738,1631590.8148148148,0.00024319066147859272,0.0019455252918287418,multifieldqa_en,0,-0.08012955185185183,-0.08583960663580247,-0.07455046089351852,0.0
Per-task Best Fixed,NA,54,0.4799523550617284,0.47254956657870373,0.48702712887808636,0.5887608708456791,148629272.0862963,146997681.27148148,1631590.8148148148,0.0,0.0,countries,0,-0.08025300864197529,-0.08560524945987653,-0.0747045710030864,0.0
