pair,task,target_method,target_score,target_actual_budget,baseline_method,matched_baseline_score,score_delta,match_status,fixed_ratio_bracket
pair2_llama32_same,tmath,B-ReKV,0.3497881966666668,0.25761217333333336,Random,0.3330528861129133,0.01673531055375349,matched,0.2..0.25
pair2_llama32_same,twowikimqa,B-ReKV,0.415,0.40148981499999997,ReKV,0.395,0.019999999999999962,matched,0.35..0.4
pair2_llama32_same,twowikimqa,B-ReKV,0.415,0.40148981499999997,ValueNorm/Evict,0.3008636832770898,0.11413631672291019,matched,0.35..0.4
pair2_llama32_same,twowikimqa,B-ReKV,0.415,0.40148981499999997,Random,0.3105228914698143,0.10447710853018566,matched,0.35..0.4
pair3_qwen25_7b_same,countries,B-ReKV,0.23,0.38494854499999986,ReKV,0.08465709424422148,0.14534290575577852,matched,0.35..0.4
pair3_qwen25_7b_same,countries,B-ReKV,0.23,0.38494854499999986,ValueNorm/Evict,0.10239014443063597,0.12760985556936405,matched,0.35..0.4
pair3_qwen25_7b_same,countries,B-ReKV,0.23,0.38494854499999986,Random,0.09717043329190789,0.13282956670809212,matched,0.35..0.4
pair3_qwen25_7b_same,hotpotqa,B-ReKV,0.49,0.36186102599999986,ReKV,0.5000366540286332,-0.010036654028633185,matched,0.3..0.35
pair3_qwen25_7b_same,hotpotqa,B-ReKV,0.49,0.36186102599999986,ValueNorm/Evict,0.5847785399686475,-0.09477853996864749,matched,0.3..0.35
pair3_qwen25_7b_same,hotpotqa,B-ReKV,0.49,0.36186102599999986,Random,0.4046403194314964,0.08535968056850357,matched,0.3..0.35
pair3_qwen25_7b_same,multifieldqa_en,B-ReKV,0.41333333333333333,0.33988730000000017,ReKV,0.4774491602309379,-0.06411582689760459,matched,0.3..0.35
pair3_qwen25_7b_same,multifieldqa_en,B-ReKV,0.41333333333333333,0.33988730000000017,ValueNorm/Evict,0.32460875321786437,0.08872458011546897,matched,0.3..0.35
pair3_qwen25_7b_same,multifieldqa_en,B-ReKV,0.41333333333333333,0.33988730000000017,Random,0.3041158268976046,0.10921750643572875,matched,0.3..0.35
pair3_qwen25_7b_same,musique,B-ReKV,0.234,0.3209176740000004,ReKV,0.28449795209520157,-0.050497952095201554,matched,0.25..0.3
pair3_qwen25_7b_same,musique,B-ReKV,0.234,0.3209176740000004,ValueNorm/Evict,0.32599765953737325,-0.09199765953737324,matched,0.25..0.3
pair3_qwen25_7b_same,musique,B-ReKV,0.234,0.3209176740000004,Random,0.17449795209520158,0.05950204790479843,matched,0.25..0.3
pair3_qwen25_7b_same,qasper,B-ReKV,0.236,0.35022945199999994,ReKV,0.2781864466693242,-0.042186446669324196,matched,0.3..0.35
pair3_qwen25_7b_same,qasper,B-ReKV,0.236,0.35022945199999994,ValueNorm/Evict,0.28255934000797256,-0.04655934000797257,matched,0.3..0.35
pair3_qwen25_7b_same,qasper,B-ReKV,0.236,0.35022945199999994,Random,0.2049322333466209,0.031067766653379097,matched,0.3..0.35
pair3_qwen25_7b_same,tipsheets,B-ReKV,0.87,0.37128636200000026,ReKV,0.9076391405791622,-0.03763914057916218,matched,0.3..0.35
pair3_qwen25_7b_same,tipsheets,B-ReKV,0.87,0.37128636200000026,ValueNorm/Evict,0.6579791872433077,0.21202081275669227,matched,0.3..0.35
pair3_qwen25_7b_same,tipsheets,B-ReKV,0.87,0.37128636200000026,Random,0.7329895936216538,0.13701040637834616,matched,0.3..0.35
pair3_qwen25_7b_same,tmath,B-ReKV,0.3040080766666669,0.3630525066666668,ReKV,0.3086044547737294,-0.004596378107062482,matched,0.3..0.35
pair3_qwen25_7b_same,tmath,B-ReKV,0.3040080766666669,0.3630525066666668,ValueNorm/Evict,0.3090666113807526,-0.005058534714085683,matched,0.3..0.35
pair3_qwen25_7b_same,tmath,B-ReKV,0.3040080766666669,0.3630525066666668,Random,0.3090166920378527,-0.005008615371185798,matched,0.3..0.35
pair3_qwen25_7b_same,twowikimqa,B-ReKV,0.405,0.31823836499999986,ReKV,0.465090110565467,-0.06009011056546698,matched,0.25..0.3
pair3_qwen25_7b_same,twowikimqa,B-ReKV,0.405,0.31823836499999986,ValueNorm/Evict,0.3378056511054474,0.06719434889455261,matched,0.25..0.3
pair3_qwen25_7b_same,twowikimqa,B-ReKV,0.405,0.31823836499999986,Random,0.3107014127763619,0.09429858722363815,matched,0.25..0.3
pair4_falcon3_7b_same,countries,B-ReKV,0.25,0.43569405999999977,ReKV,0.3251660808254205,-0.07516608082542048,matched,0.4..0.5
pair4_falcon3_7b_same,countries,B-ReKV,0.25,0.43569405999999977,ValueNorm/Evict,0.17722194325020024,0.07277805674979976,matched,0.4..0.5
pair4_falcon3_7b_same,countries,B-ReKV,0.25,0.43569405999999977,Random,0.09938852622526029,0.1506114737747397,matched,0.4..0.5
pair4_falcon3_7b_same,hotpotqa,B-ReKV,0.426,0.3392620719999996,ReKV,0.45657458331052,-0.030574583310519987,matched,0.3..0.35
pair4_falcon3_7b_same,hotpotqa,B-ReKV,0.426,0.3392620719999996,ValueNorm/Evict,0.38762430551753335,0.03837569448246664,matched,0.3..0.35
pair4_falcon3_7b_same,hotpotqa,B-ReKV,0.426,0.3392620719999996,Random,0.32328729165526,0.10271270834474,matched,0.3..0.35
pair4_falcon3_7b_same,multifieldqa_en,B-ReKV,0.26666666666666666,0.15248373333333334,ReKV,0.32666666666666666,-0.06,matched,0.1..0.15
pair4_falcon3_7b_same,multifieldqa_en,B-ReKV,0.26666666666666666,0.15248373333333334,ValueNorm/Evict,0.24354134476068456,0.0231253219059821,matched,0.1..0.15
pair4_falcon3_7b_same,multifieldqa_en,B-ReKV,0.26666666666666666,0.15248373333333334,Random,0.21406223174501493,0.05260443492165173,matched,0.1..0.15
pair4_falcon3_7b_same,musique,B-ReKV,0.256,0.2592135399999999,ReKV,0.262304919985425,-0.006304919985424984,matched,0.2..0.25
pair4_falcon3_7b_same,musique,B-ReKV,0.256,0.2592135399999999,ValueNorm/Evict,0.18757397748451404,0.06842602251548596,matched,0.2..0.25
pair4_falcon3_7b_same,musique,B-ReKV,0.256,0.2592135399999999,Random,0.1028430349836031,0.15315696501639692,matched,0.2..0.25
pair4_falcon3_7b_same,qasper,B-ReKV,0.146,0.21430740199999987,ReKV,0.19689742706738583,-0.05089742706738584,matched,0.15..0.2
pair4_falcon3_7b_same,qasper,B-ReKV,0.146,0.21430740199999987,ValueNorm/Evict,0.07363247568912862,0.07236752431087137,matched,0.15..0.2
pair4_falcon3_7b_same,qasper,B-ReKV,0.146,0.21430740199999987,Random,0.06704059461141076,0.07895940538858923,matched,0.15..0.2
pair4_falcon3_7b_same,tipsheets,B-ReKV,0.818,0.3280979540000002,ReKV,0.6802971406110032,0.13770285938899673,matched,0.3..0.35
pair4_falcon3_7b_same,tipsheets,B-ReKV,0.818,0.3280979540000002,ValueNorm/Evict,0.6491405229477577,0.16885947705224225,matched,0.3..0.35
