pair,task,n,mean,std,min,p10,p25,p50,p75,p90,max,unique_budgets,path
pair3_qwen25_7b_same,twowikimqa,200,0.31823836499999986,0.029430693002114292,0.246008,0.282483,0.295599,0.31706,0.337422,0.357316,0.408595,200,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0715_2310
pair4_falcon3_7b_same,countries,200,0.43569405999999977,0.01701247791890134,0.304563,0.415653,0.431122,0.439024,0.446864,0.450772,0.457529,115,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/countries/coverage/cov_t0.95_s0.75_w8_0715_2331
pair4_falcon3_7b_same,hotpotqa,500,0.3392620719999996,0.03850331225403705,0.197308,0.289001,0.313608,0.341003,0.36669,0.388042,0.425373,491,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0716_0030
pair4_falcon3_7b_same,multifieldqa_en,150,0.15248373333333334,0.019435547155761984,0.114652,0.129715,0.140301,0.150653,0.161433,0.174218,0.22873,149,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0717_1123
pair4_falcon3_7b_same,musique,500,0.2592135399999999,0.036616492868875826,0.128972,0.218892,0.234127,0.256517,0.279977,0.310171,0.379902,499,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/musique/coverage/cov_t0.95_s0.75_w8_0716_0151
pair4_falcon3_7b_same,qasper,500,0.21430740199999987,0.019470979590478287,0.159817,0.189626,0.201811,0.215595,0.229077,0.238854,0.265938,434,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/qasper/coverage/cov_t0.95_s0.75_w8_0717_1011
pair4_falcon3_7b_same,tipsheets,500,0.3280979540000002,0.01631613855759828,0.288636,0.306034,0.316832,0.327753,0.338684,0.349817,0.378788,458,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0717_0637
pair4_falcon3_7b_same,tmath,300,0.2963569766666667,0.03018428592793586,0.193988,0.255775,0.280179,0.302772,0.31578,0.329688,0.35873,298,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/tmath/coverage/cov_t0.95_s0.75_w8_0717_1957
pair4_falcon3_7b_same,twowikimqa,200,0.14895055500000004,0.011781195317220041,0.121572,0.135897,0.14055,0.14741,0.156623,0.163873,0.184339,200,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0716_0255
pair5_evolcodellama_toolace,countries,200,0.29510624999999996,0.005018644476290088,0.265625,0.290112,0.29248,0.294355,0.297115,0.301471,0.311141,123,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/countries/coverage/cov_t0.95_s0.75_w8_0716_0320
pair5_evolcodellama_toolace,hotpotqa,500,0.28858004399999987,0.020178375640398677,0.232027,0.264503,0.274923,0.288194,0.302169,0.313953,0.345324,487,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/hotpotqa/coverage/cov_t0.95_s0.75_w8_0716_0541
pair5_evolcodellama_toolace,multifieldqa_en,150,0.35942132666666665,0.03141259514961336,0.230707,0.317244,0.344961,0.367547,0.379914,0.392786,0.430254,149,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0718_0132
pair5_evolcodellama_toolace,musique,500,0.3020290919999999,0.024900072996318308,0.172418,0.271505,0.287757,0.304538,0.318574,0.328225,0.363753,500,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/musique/coverage/cov_t0.95_s0.75_w8_0716_0737
pair5_evolcodellama_toolace,qasper,500,0.38363950800000024,0.02072262969347185,0.306089,0.355992,0.369049,0.385254,0.399502,0.409431,0.443628,435,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/qasper/coverage/cov_t0.95_s0.75_w8_0718_0019
pair5_evolcodellama_toolace,tipsheets,500,0.28952167600000006,0.007090793345144895,0.266687,0.280012,0.28462,0.290365,0.294338,0.29846,0.30746,460,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/tipsheets/coverage/cov_t0.95_s0.75_w8_0717_2051
pair5_evolcodellama_toolace,tmath,300,0.2803039199999999,0.02102194935384726,0.218076,0.252373,0.264741,0.282097,0.294118,0.307201,0.344562,299,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/tmath/coverage/cov_t0.95_s0.75_w8_0718_1040
pair5_evolcodellama_toolace,twowikimqa,200,0.37488859999999996,0.022202395326431687,0.297235,0.347691,0.361751,0.376987,0.390035,0.402758,0.421129,200,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/twowikimqa/coverage/cov_t0.95_s0.75_w8_0716_0847
pair6_llama32_abliterated_deepseek3b,countries,200,0.35294440500000007,0.01396523996670351,0.253914,0.337662,0.346939,0.355357,0.361722,0.367481,0.369691,93,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/countries/coverage/cov_t0.95_s0.75_w8_0716_0904
pair6_llama32_abliterated_deepseek3b,hotpotqa,500,0.2530156239999998,0.02114237616917223,0.190701,0.223634,0.239735,0.253472,0.267224,0.27907,0.31391,478,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.75_w8_0716_0937
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,150,0.3948470466666666,0.046600019018537,0.227157,0.33952,0.370962,0.405234,0.428189,0.445726,0.477896,149,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0718_1333
pair6_llama32_abliterated_deepseek3b,musique,500,0.2518589280000003,0.025891424458066244,0.145865,0.218313,0.234479,0.254159,0.269395,0.282338,0.325351,499,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.75_w8_0716_1018
pair6_llama32_abliterated_deepseek3b,qasper,500,0.40393804800000005,0.028693096003921857,0.322549,0.365111,0.382862,0.407435,0.424673,0.43986,0.475635,434,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.75_w8_0718_1253
pair6_llama32_abliterated_deepseek3b,tipsheets,500,0.23698031599999972,0.008533472850717455,0.213946,0.227303,0.231414,0.236413,0.24211,0.2481,0.262987,416,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/tipsheets/coverage/cov_t0.95_s0.75_w8_0718_1128
pair6_llama32_abliterated_deepseek3b,tmath,300,0.25106460999999997,0.026370129033092965,0.161013,0.217823,0.233267,0.253629,0.270576,0.282313,0.309932,297,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/tmath/coverage/cov_t0.95_s0.75_w8_0718_2203
pair6_llama32_abliterated_deepseek3b,twowikimqa,200,0.39988733500000007,0.03379931785495198,0.272717,0.359083,0.382499,0.404233,0.422912,0.437802,0.478228,200,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/twowikimqa/coverage/cov_t0.95_s0.75_w8_0716_1056
pair7_qwen25_uncensored_bespoke,countries,200,0.4008138700000001,0.005065725143476127,0.374424,0.39532,0.398214,0.401003,0.404358,0.406463,0.412088,124,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/countries/coverage/cov_t0.95_s0.75_w8_0716_1122
pair7_qwen25_uncensored_bespoke,hotpotqa,500,0.38534502800000026,0.023992531114114233,0.261771,0.353992,0.371901,0.388199,0.401701,0.412865,0.436243,488,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.75_w8_0716_1430
pair7_qwen25_uncensored_bespoke,multifieldqa_en,150,0.35847211333333345,0.04199519284083295,0.209813,0.304401,0.338145,0.365821,0.384586,0.401765,0.478307,149,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0719_1153
pair7_qwen25_uncensored_bespoke,musique,500,0.34411705199999976,0.030376142178898266,0.205504,0.309351,0.326559,0.343959,0.364123,0.379672,0.429604,496,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.75_w8_0716_1745
pair7_qwen25_uncensored_bespoke,qasper,500,0.36837178999999987,0.018252915572469264,0.314118,0.343359,0.356423,0.369634,0.380592,0.392235,0.415497,434,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/qasper/coverage/cov_t0.95_s0.75_w8_0719_0920
pair7_qwen25_uncensored_bespoke,tipsheets,500,0.39804663599999973,0.008773162531100073,0.370011,0.386447,0.392247,0.398512,0.404082,0.409314,0.419553,438,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/tipsheets/coverage/cov_t0.95_s0.75_w8_0718_2320
pair7_qwen25_uncensored_bespoke,tmath,300,0.39069366666666683,0.0192713693147748,0.294073,0.368571,0.38289,0.393773,0.402256,0.410116,0.435978,296,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/tmath/coverage/cov_t0.95_s0.75_w8_0720_0425
pair7_qwen25_uncensored_bespoke,twowikimqa,200,0.3416963749999999,0.028833932819397747,0.267546,0.303762,0.321131,0.342493,0.361548,0.380087,0.424749,200,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair7_qwen25_uncensored_bespoke/twowikimqa/coverage/cov_t0.95_s0.75_w8_0716_1949
