pair,task,n,mean,std,min,p10,p25,p50,p75,p90,max,unique_budgets,path
pair1_llama31_same,hotpotqa,500,0.2754482219999999,0.020190071576426823,0.219236,0.248667,0.263112,0.27527,0.290039,0.299953,0.340153,486,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0712_2314
pair1_llama31_same,multifieldqa_en,150,0.33536828,0.033103406742123934,0.214824,0.292807,0.314397,0.341648,0.358312,0.373663,0.412965,149,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0713_0233
pair1_llama31_same,musique,500,0.27454659399999964,0.0243468739807482,0.159103,0.242654,0.260096,0.275591,0.290774,0.302802,0.337604,500,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.75_w8_0713_0053
pair6_llama32_abliterated_deepseek3b,hotpotqa,500,0.2530156239999998,0.02114237616917223,0.190701,0.223634,0.239735,0.253472,0.267224,0.27907,0.31391,478,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.75_w8_0712_2256
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,150,0.3948470466666666,0.046600019018537,0.227157,0.33952,0.370962,0.405234,0.428189,0.445726,0.477896,149,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0713_0048
pair6_llama32_abliterated_deepseek3b,musique,500,0.2518589280000003,0.025891424458066244,0.145865,0.218313,0.234479,0.254159,0.269395,0.282338,0.325351,499,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.75_w8_0712_2352
pair7_qwen25_uncensored_bespoke,hotpotqa,500,0.38534502800000026,0.023992531114114233,0.261771,0.353992,0.371901,0.388199,0.401701,0.412865,0.436243,488,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.75_w8_0713_0605
pair7_qwen25_uncensored_bespoke,multifieldqa_en,150,0.35847211333333345,0.04199519284083295,0.209813,0.304401,0.338145,0.365821,0.384586,0.401765,0.478307,149,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0713_0740
pair7_qwen25_uncensored_bespoke,musique,500,0.34411705199999976,0.030376142178898266,0.205504,0.309351,0.326559,0.343959,0.364123,0.379672,0.429604,496,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.75_w8_0713_0405
