pair,task,method,setting,n,score,budget,run_dir
pair7,multifieldqa_en,ReKV,w8 r=0.3,150,0.380000,0.325001,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0702_0503
pair7,multifieldqa_en,ReKV,w16 r=0.3,150,0.393333,0.325001,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0702_0513
pair7,multifieldqa_en,B-ReKV,w8 t=0.95 s=0.75,150,0.393333,0.209358,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0702_0524
pair7,multifieldqa_en,B-ReKV,w8 t=0.95 s=0.85,150,0.380000,0.232162,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_0702_0533
pair7,multifieldqa_en,B-ReKV,w16 t=0.95 s=0.90,150,0.373333,0.309112,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_0702_0543
pair7,musique,Evict/ValueNorm,r=0.3,500,0.144000,0.324937,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_evict/evict_r0.3_0702_0248
pair7,musique,Random-token,r=0.3,500,0.080000,0.324937,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_random/random_r0.3_0702_0307
pair7,musique,ReKV,w8 r=0.3,500,0.288000,0.324937,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w8_r0.3_0702_0326
pair7,musique,ReKV,w16 r=0.3,500,0.298000,0.324937,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w16_r0.3_0702_0340
pair7,musique,B-ReKV,w8 t=0.95 s=0.75,500,0.300000,0.292021,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.75_w8_0702_0354
pair7,musique,B-ReKV,w8 t=0.95 s=0.85,500,0.308000,0.325507,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.85_w8_0702_0409
pair7,musique,B-ReKV,w16 t=0.95 s=0.90,500,0.300000,0.412138,snapshots/query_fairness/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.90_w16_0702_0422
