pair,pair_label,task,task_label,method,score,payload_tokens,payload_bytes,payload_mb,t_total,peak_mem_gb,compute_tokens_proxy,run_dir,method_group
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,NLD,0.062069,20.255172,85.462069,8.2e-05,2.182238,13.195138,7122.627587,snapshots/nld_cost_profile/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/nld/nld_cost_0709_1902,NLD
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.462069,62900.848276,257641874.537931,245.7064,1.261509,15.467569,6973.310345,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0702_1652,ReKV-w8 r=0.3
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.90 w16,0.489655,64528.834483,264310106.041379,252.0658,1.265695,15.481605,6973.289655,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_cost_0702_1707,B-ReKV
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,NLD,0.115152,21.816162,86.989899,8.3e-05,2.531885,28.4126,455.785858,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/hotpotqa/nld/nld_cost_0709_1908,NLD
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,ReKV-w8 r=0.3,0.39596,1273.036364,2607178.472727,2.4864,1.145947,28.481063,231.812121,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/mtc_receiver/recv_w8_r0.3_cost_0703_0324,ReKV-w8 r=0.3
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.85 w8,0.446465,1433.238384,2935272.210101,2.7993,1.106694,28.48078,230.515151,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0703_0355,B-ReKV
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,NLD,0.042424,24.230303,96.123232,9.2e-05,3.571563,28.453824,769.050505,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/musique/nld/nld_cost_0709_1929,NLD
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,ReKV-w8 r=0.3,0.288889,3549.133333,7268625.066667,6.9319,1.209848,28.582993,487.123232,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/mtc_receiver/recv_w8_r0.3_cost_0703_1155,ReKV-w8 r=0.3
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,B-ReKV t=0.95 s=0.85 w8,0.307071,3442.187879,7049600.775758,6.723,1.195543,28.583031,486.626262,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/coverage/cov_t0.95_s0.85_w8_cost_0703_1227,B-ReKV
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,NLD,0.117241,27.855172,124.255172,0.000118,5.283789,29.717704,7543.275861,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/multifieldqa_en/nld/nld_cost_0709_1959,NLD
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.372414,65196.02069,133521450.372414,127.336,3.040652,31.435741,7266.255172,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0703_1332,ReKV-w8 r=0.3
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.393103,41905.958621,85823403.255172,81.8476,2.888542,31.411949,7264.820689,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0703_1349,B-ReKV
