pair,pair_label,task,task_label,method,score,payload_tokens,payload_bytes,payload_mb,t_total,peak_mem_gb,compute_tokens_proxy,run_dir
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,NLD,0.149495,49.357576,182.963636,0.000174,2.93364,30.012374,717.216161,snapshots/nld_cost_profile/pair1_llama31_same/musique/nld/nld_cost_0709_1810
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,ReKV-w16 r=0.3,0.460606,3898.054545,15966431.418182,15.2268,0.54229,30.1694,463.707071,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w16_r0.3_cost_0630_2238
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,ReKV-w8 r=0.3,0.478788,3898.054545,15966431.418182,15.2268,0.593774,30.1694,464.230303,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w8_r0.3_cost_0630_2232
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.75 w8,0.640404,866.222222,3548046.222222,3.3837,0.29878,12.057302,170.69697,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/coverage/cov_t0.95_s0.75_w8_cost_0702_1356
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.85 w8,0.638384,959.321212,3929379.684848,3.7473,0.326973,12.057305,170.640405,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0702_1400
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.90 w16,0.672727,1184.220202,4850565.947475,4.6259,0.327668,12.057313,170.646465,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/coverage/cov_t0.95_s0.90_w16_cost_0702_1403
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,NLD,0.292929,12.840404,48.218182,4.6e-05,0.801204,11.998647,287.89293,snapshots/nld_cost_profile/pair6_llama32_abliterated_deepseek3b/hotpotqa/nld/nld_cost_0709_1844
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,ReKV-w16 r=0.3,0.670707,1051.416162,4306600.59798,4.1071,0.270817,12.057314,170.434344,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/mtc_receiver/recv_w16_r0.3_cost_0702_1353
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,ReKV-w8 r=0.3,0.646465,1051.416162,4306600.59798,4.1071,0.300986,12.057314,170.569697,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/mtc_receiver/recv_w8_r0.3_cost_0702_1350
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.462069,45881.068966,187928858.482759,179.2229,1.251497,15.394221,6973.075862,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0702_1659
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.85 w8,0.482759,51056.275862,209126505.931034,199.4386,1.268707,15.42,6973.075862,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0702_1703
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.90 w16,0.489655,64528.834483,264310106.041379,252.0658,1.265695,15.481605,6973.289655,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_cost_0702_1707
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,NLD,0.062069,20.255172,85.462069,8.2e-05,2.182238,13.195138,7122.627587,snapshots/nld_cost_profile/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/nld/nld_cost_0709_1902
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,ReKV-w16 r=0.3,0.462069,62900.848276,257641874.537931,245.7064,1.251776,15.467569,6972.937931,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/mtc_receiver/recv_w16_r0.3_cost_0702_1656
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.462069,62900.848276,257641874.537931,245.7064,1.261509,15.467569,6973.310345,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0702_1652
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,musique,MuSiQue,B-ReKV t=0.95 s=0.75 w8,0.381818,2433.791919,9968811.70101,9.507,0.387132,12.171355,411.133333,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/coverage/cov_t0.95_s0.75_w8_cost_0702_1621
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,musique,MuSiQue,B-ReKV t=0.95 s=0.85 w8,0.367677,2708.694949,11094814.513131,10.5808,0.432399,12.171685,411.09899,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/coverage/cov_t0.95_s0.85_w8_cost_0702_1625
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,musique,MuSiQue,B-ReKV t=0.95 s=0.90 w16,0.365657,3493.39596,14308949.850505,13.6461,0.328692,12.173273,411.09697,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/coverage/cov_t0.95_s0.90_w16_cost_0702_1630
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,musique,MuSiQue,NLD,0.080808,18.018182,71.987879,6.9e-05,1.272986,12.040454,556.387879,snapshots/nld_cost_profile/pair6_llama32_abliterated_deepseek3b/musique/nld/nld_cost_0709_1851
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,musique,MuSiQue,ReKV-w16 r=0.3,0.353535,3216.167677,13173422.80404,12.5632,0.290065,12.17275,410.858586,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/mtc_receiver/recv_w16_r0.3_cost_0702_1618
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,musique,MuSiQue,ReKV-w8 r=0.3,0.359596,3216.167677,13173422.80404,12.5632,0.38876,12.17275,411.070707,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/mtc_receiver/recv_w8_r0.3_cost_0702_1614
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.75 w8,0.414141,1284.589899,2630840.113131,2.509,1.141072,28.481021,231.488888,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/coverage/cov_t0.95_s0.75_w8_cost_0703_0345
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.85 w8,0.446465,1433.238384,2935272.210101,2.7993,1.106694,28.48078,230.515151,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0703_0355
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.90 w16,0.40202,1705.533333,3492932.266667,3.3311,1.443708,28.481444,231.854545,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/coverage/cov_t0.95_s0.90_w16_cost_0703_0405
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,NLD,0.115152,21.816162,86.989899,8.3e-05,2.531885,28.4126,455.785858,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/hotpotqa/nld/nld_cost_0709_1908
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,ReKV-w16 r=0.3,0.375758,1273.036364,2607178.472727,2.4864,1.223504,28.481603,233.185858,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/mtc_receiver/recv_w16_r0.3_cost_0703_0334
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,hotpotqa,HotpotQA,ReKV-w8 r=0.3,0.39596,1273.036364,2607178.472727,2.4864,1.145947,28.481063,231.812121,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/mtc_receiver/recv_w8_r0.3_cost_0703_0324
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.393103,41905.958621,85823403.255172,81.8476,2.888542,31.411949,7264.820689,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0703_1349
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.85 w8,0.37931,46472.248276,95175164.468966,90.7661,2.979283,31.416115,7265.655172,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0703_1356
