pair,task,method,n,bandwidth_gbps,rtt_ms,rtt_rounds,payload_bytes_mean,compute_s_mean,transfer_s_mean,network_s_mean,e2e_s_mean,e2e_s_median,e2e_s_p95,source
pair1_llama31_same,hotpotqa,B-ReKV,50,100.0,10.0,1,7164526.0,0.20306053999999998,0.0005731620800000001,0.010573162079999998,0.21363370208,0.1739520696,0.5083291399999995,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0545/cost_profile.jsonl
pair1_llama31_same,hotpotqa,B-ReKV,50,100.0,50.0,1,7164526.0,0.20306053999999998,0.0005731620800000001,0.050573162080000005,0.25363370208,0.21395206960000002,0.5483291399999994,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0545/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,1.0,0.0,1,437.2,2.10622598,3.4976e-06,3.4976e-06,2.1062294776000003,2.019787892,3.017081722,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,1.0,1.0,1,437.2,2.10622598,3.4976e-06,0.0010034975999999999,2.1072294776,2.0207878920000004,3.018081722,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,1.0,10.0,1,437.2,2.10622598,3.4976e-06,0.0100034976,2.1162294776,2.029787892,3.0270817219999997,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,1.0,50.0,1,437.2,2.10622598,3.4976e-06,0.05000349760000001,2.1562294776,2.069787892,3.0670817219999997,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,10.0,0.0,1,437.2,2.10622598,3.4976000000000003e-07,3.4976000000000003e-07,2.10622632976,2.0197848392,3.0170777421999997,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,10.0,1.0,1,437.2,2.10622598,3.4976000000000003e-07,0.00100034976,2.1072263297599996,2.0207848392,3.0180777421999996,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,10.0,10.0,1,437.2,2.10622598,3.4976000000000003e-07,0.010000349760000003,2.11622632976,2.0297848392,3.0270777421999995,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,10.0,50.0,1,437.2,2.10622598,3.4976000000000003e-07,0.05000034976,2.15622632976,2.0697848392,3.0670777421999995,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,25.0,0.0,1,437.2,2.10622598,1.3990400000000003e-07,1.3990400000000003e-07,2.106226119904,2.01978463568,3.01707747688,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,25.0,1.0,1,437.2,2.10622598,1.3990400000000003e-07,0.001000139904,2.107226119904,2.02078463568,3.01807747688,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,25.0,10.0,1,437.2,2.10622598,1.3990400000000003e-07,0.010000139903999998,2.1162261199040002,2.02978463568,3.0270774768799997,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,25.0,50.0,1,437.2,2.10622598,1.3990400000000003e-07,0.050000139904000006,2.156226119904,2.06978463568,3.0670774768799998,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,100.0,0.0,1,437.2,2.10622598,3.497600000000001e-08,3.497600000000001e-08,2.106226014976,2.0197845339200002,3.0170773442199996,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,100.0,1.0,1,437.2,2.10622598,3.497600000000001e-08,0.0010000349760000001,2.1072260149760003,2.02078453392,3.01807734422,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,100.0,10.0,1,437.2,2.10622598,3.497600000000001e-08,0.010000034976000001,2.1162260149759997,2.02978453392,3.02707734422,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,NLD,50,100.0,50.0,1,437.2,2.10622598,3.497600000000001e-08,0.05000003497600001,2.156226014976,2.06978453392,3.06707734422,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/hotpotqa/nld_aware/nld_aware_cost_0725_2101/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,1.0,0.0,1,8085960.0,0.16169596000000003,0.06468768,0.06468768,0.22638363999999997,0.21337156000000002,0.3652845599999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,1.0,1.0,1,8085960.0,0.16169596000000003,0.06468768,0.06568768,0.22738364,0.21437156000000002,0.3662845599999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,1.0,10.0,1,8085960.0,0.16169596000000003,0.06468768,0.07468767999999999,0.23638364000000003,0.22337156,0.37528455999999993,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,1.0,50.0,1,8085960.0,0.16169596000000003,0.06468768,0.11468767999999999,0.27638364,0.26337156,0.4152845599999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,10.0,0.0,1,8085960.0,0.16169596000000003,0.0064687680000000015,0.0064687680000000015,0.16816472799999996,0.149523156,0.30595839799999996,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,10.0,1.0,1,8085960.0,0.16169596000000003,0.0064687680000000015,0.007468768,0.16916472800000001,0.150523156,0.30695839799999997,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,10.0,10.0,1,8085960.0,0.16169596000000003,0.0064687680000000015,0.016468768,0.178164728,0.159523156,0.315958398,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,10.0,50.0,1,8085960.0,0.16169596000000003,0.0064687680000000015,0.056468768,0.218164728,0.199523156,0.35595839799999995,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,25.0,0.0,1,8085960.0,0.16169596000000003,0.0025875072000000002,0.0025875072000000002,0.1642834672,0.1448997624,0.30186114919999996,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,25.0,1.0,1,8085960.0,0.16169596000000003,0.0025875072000000002,0.0035875072000000007,0.16528346719999998,0.1458997624,0.30286114919999996,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,25.0,10.0,1,8085960.0,0.16169596000000003,0.0025875072000000002,0.012587507200000004,0.17428346720000004,0.1548997624,0.31186114919999997,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,25.0,50.0,1,8085960.0,0.16169596000000003,0.0025875072000000002,0.0525875072,0.2142834672,0.1948997624,0.35186114919999995,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,100.0,0.0,1,8085960.0,0.16169596000000003,0.0006468768000000001,0.0006468768000000001,0.1623428368,0.1427727136,0.2998125248,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,100.0,1.0,1,8085960.0,0.16169596000000003,0.0006468768000000001,0.0016468768,0.16334283679999997,0.1437727136,0.3008125248,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,100.0,10.0,1,8085960.0,0.16169596000000003,0.0006468768000000001,0.0106468768,0.1723428368,0.1527727136,0.3098125248,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,hotpotqa,ReKV,50,100.0,50.0,1,8085960.0,0.16169596000000003,0.0006468768000000001,0.050646876800000004,0.21234283679999996,0.19277271359999998,0.34981252479999997,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,1.0,0.0,1,326101804.0,0.75688976,2.6088144320000004,2.6088144320000004,3.365704192,3.4673203600000004,6.332683659999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,1.0,1.0,1,326101804.0,0.75688976,2.6088144320000004,2.609814432,3.366704192,3.46832036,6.333683659999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,1.0,10.0,1,326101804.0,0.75688976,2.6088144320000004,2.6188144319999997,3.3757041920000006,3.47732036,6.342683659999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,1.0,50.0,1,326101804.0,0.75688976,2.6088144320000004,2.658814432,3.4157041919999993,3.5173203600000003,6.382683659999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,10.0,0.0,1,326101804.0,0.75688976,0.26088144319999995,0.26088144319999995,1.0177712032000001,0.976633976,1.8599084299999993,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,10.0,1.0,1,326101804.0,0.75688976,0.26088144319999995,0.2618814432,1.0187712032,0.9776339759999999,1.8609084299999994,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,10.0,10.0,1,326101804.0,0.75688976,0.26088144319999995,0.27088144319999996,1.0277712031999997,0.986633976,1.8699084299999995,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,10.0,50.0,1,326101804.0,0.75688976,0.26088144319999995,0.3108814432,1.0677712032000002,1.026633976,1.9099084299999995,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,25.0,0.0,1,326101804.0,0.75688976,0.10435257728,0.10435257728,0.8612423372800001,0.8036423544,1.5853928887999995,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
