comparison,scope,n_cells,mean_delta,ci_low,ci_high,bootstrap_win_probability
B-ReKV - ReKV,56-cell stratified macro,56,0.003586524988461292,-0.000712082532731487,0.007894926369737274,0.95
B-ReKV - ValueNorm/Evict,56-cell stratified macro,56,0.09226475236270189,0.08585143429022761,0.09866201566117613,1.0
B-ReKV - Random,56-cell stratified macro,56,0.12668047842080027,0.12028866178427401,0.1333574383753399,1.0
NLD - B-ReKV,9-cell stratified macro,9,-0.013333333333333329,-0.06444444444444444,0.03777777777777777,0.3036
NLD - ReKV,9-cell stratified macro,9,-0.0488888888888889,-0.09777777777777778,2.3322393399240934e-18,0.0257
