ratio,n_cells,actual_budget,score
0.1,56,0.1480769467678571,0.2374906445238095
0.15,56,0.1879159712142858,0.28907206071428565
0.2,56,0.23108366610714293,0.33288230785714273
0.25,56,0.277471525970238,0.36746526428571435
0.3,56,0.3244114998392858,0.39683932625
0.35,56,0.3722933607380951,0.4225688776785714
0.4,56,0.42069019439285704,0.4492747353571431
0.5,56,0.5172131027559523,0.4714592093452382
0.6,56,0.613748656339286,0.4836207233333334
