comparison,pair,task,n_pairs,mean_delta,ci_low,ci_high,bootstrap_win_probability,lower_ratio,upper_ratio,interpolation_weight
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,twowikimqa,200,0.11980556516641806,0.07326852172213935,0.16961113033283615,1.0,0.3,0.35,0.34629565557212894
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,twowikimqa,200,0.12826852172213937,0.07807408688855742,0.18,1.0,0.3,0.35,0.34629565557212894
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,tmath,300,-0.001495174969308582,-0.00730945453224277,0.004257662389540446,0.3109,0.35,0.4,0.3619619968455658
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,tmath,300,0.0007558462954333979,-0.006223158051188944,0.007622614304784274,0.5895,0.35,0.4,0.3619619968455658
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,tmath,300,-0.0012807747685100702,-0.009471635380013726,0.006827665611638697,0.3757,0.35,0.4,0.3619619968455658
NLD - ReKV,pair1_llama31_same,hotpotqa,50,-0.06,-0.18,0.06,0.1128,,,
NLD - B-ReKV,pair1_llama31_same,hotpotqa,50,0.04,-0.1,0.18,0.6544,,,
NLD - ReKV,pair1_llama31_same,musique,50,0.08,-0.08,0.24,0.7931,,,
NLD - B-ReKV,pair1_llama31_same,musique,50,0.1,-0.06,0.26,0.8671,,,
NLD - ReKV,pair1_llama31_same,multifieldqa_en,50,0.14,0.04,0.26,0.9924,,,
NLD - B-ReKV,pair1_llama31_same,multifieldqa_en,50,0.18,0.06,0.3,0.9984,,,
NLD - ReKV,pair6_llama32_abliterated_deepseek3b,hotpotqa,50,-0.06,-0.22,0.1,0.1828,,,
NLD - B-ReKV,pair6_llama32_abliterated_deepseek3b,hotpotqa,50,0.02,-0.14,0.18,0.5488,,,
NLD - ReKV,pair6_llama32_abliterated_deepseek3b,musique,50,-0.02,-0.2,0.16,0.3665,,,
NLD - B-ReKV,pair6_llama32_abliterated_deepseek3b,musique,50,0.06,-0.1,0.24,0.7173,,,
NLD - ReKV,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,50,-0.26,-0.4,-0.14,0.0,,,
NLD - B-ReKV,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,50,-0.24,-0.38,-0.1,0.0004,,,
NLD - ReKV,pair7_qwen25_uncensored_bespoke,hotpotqa,50,-0.14,-0.3,0.04,0.0534,,,
NLD - B-ReKV,pair7_qwen25_uncensored_bespoke,hotpotqa,50,-0.18,-0.36,0.0,0.0211,,,
NLD - ReKV,pair7_qwen25_uncensored_bespoke,musique,50,0.04,-0.06,0.14,0.7067,,,
NLD - B-ReKV,pair7_qwen25_uncensored_bespoke,musique,50,0.02,-0.1,0.14,0.5674,,,
NLD - ReKV,pair7_qwen25_uncensored_bespoke,multifieldqa_en,50,-0.16,-0.32,0.0,0.0215,,,
NLD - B-ReKV,pair7_qwen25_uncensored_bespoke,multifieldqa_en,50,-0.12,-0.28,0.04,0.0495,,,
